stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DSNY_QW3-DCFC1,2720 53rd Avenue,Queens,New York,11377,40.733532109631,-73.908973049314,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:23:03Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_QW6-DCFC2,27-20 53rd Ave,Queens,New York,11377,40.7335946,-73.9078257,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:24:36Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / HRA_BSHWCK_1_L3,95 Evergreen Avenue,Brooklyn,New York,11206,40.700187769492,-73.931837215651,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:29:13Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / HRA_BSHWCK_2_L3,95 Evergreen Avenue,Brooklyn,New York,11206,40.700147115573,-73.931809388895,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:26:42Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_R826#1,6581 Hylan Blvd,Staten Island,New York,10309,40.51080188479824,-74.22020313862306,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:23:52Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_32PCT#2,242 W 135th St,New York,New York,10030,40.8156169233911,-73.94526234047548,Level 2,Level 2,CPF50-L23,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:25:31Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOC_GMDCREAR#1,15-15 Hazen Street,The Bronx,New York,11370,40.79160682564,-73.882006863936,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:28:43Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_ZOOGARAGE-2,830 5th Avenue,New York,New York,10065,40.767017556979,-73.97265371485,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:28:51Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_ZOOGARAGE-1,830 5th Avenue,New York,New York,10065,40.766848387495,-73.972585416319,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:32:59Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOT_PTIVRY_1_L3,3551 Richmond Terrace,Staten Island,New York,10303,40.640873885666,-74.17361535093,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:07Z,2026-02-03T18:33:15.790551+00:00
